1	John	john	NNP	_	2	nsbj	4:nsbj	U-PERSON
2	came	come	VBD	_	0	root	_	O
3	to	to	TO	_	4	aux	_	O
4	visit	visit	VB	srl=prp	2	advcl	_	O
5	Emory	emory	NNP	_	6	com	_	B-ORG
6	University	university	NNP	_	4	obj	_	L-ORG
7	yesterday	yesterday	NN	srl=tmp	4	advnp	_	O

1	John	john	NNP	_	3	nsbj	5:nsbj;7:nsbj	U-PERSON
2	had	have	VBD	_	3	aux	_	_
3	found	find	VBN	_	0	root	_	_
4	,	,	,	_	3	p	_	_
5	bought	buy	VBN	_	3	conj	_	_
6	and	and	CC	_	5	cc	_	_
7	read	read	VBN	_	5	conj	_	_
8	the	the	DT	_	9	det	_	_
9	book	book	NN	_	7	obj	3:obj;5:obj	_
10	last	last	JJ	_	11	attr	_	_
11	year	year	NN	sem=TMP	7	advnp	3:advnp;5:advnp	_
